,tweet_id,favorite_count,retweet_count
1991-04-17 09:05:37.494245376,671879137494245376,1481,738
1991-04-17 09:54:42.306625538,671882082306625536,3628,1476
1991-04-17 12:35:28.106971137,671891728106971136,1389,604
1991-04-17 14:00:09.300709376,671896809300709376,8876,4441
1991-04-19 13:34:50.318987265,672068090318987264,1363,554
1991-04-19 17:29:30.312290304,672082170312290304,987,394
1991-04-19 21:06:26.491711488,672095186491711488,1040,393
1991-04-20 05:27:55.208069120,672125275208069120,2522,1229
1991-04-20 09:22:30.159835138,672139350159835136,1834,778
1991-04-20 15:07:22.234327040,672160042234327040,908,389
1991-04-20 17:48:05.991993344,672169685991993344,1061,396
1991-04-21 03:43:12.827572224,672205392827572224,2367,1244
1991-04-21 08:33:12.075620352,672222792075620352,817,228
1991-04-21 10:50:46.314901505,672231046314901504,1927,1078
1991-04-21 13:07:59.297454080,672239279297454080,938,343
1991-04-21 14:47:33.877968896,672245253877968896,716,167
1991-04-21 15:33:33.293752320,672248013293752320,1804,649
1991-04-21 17:16:17.670729728,672254177670729728,1491,788
1991-04-21 17:55:22.047614977,672256522047614976,2948,1679
1991-04-21 20:04:11.789176834,672264251789176832,1196,371
1991-04-21 20:59:30.918129665,672267570918129664,1561,657
1991-04-21 22:20:11.274932228,672272411274932224,6775,3627
1991-04-24 04:07:55.045466113,672466075045466112,1414,583
1991-04-24 06:38:04.225949696,672475084225949696,1512,759
1991-04-24 08:21:56.919734272,672481316919734272,741,131
1991-04-24 08:45:22.825261057,672482722825261056,1193,653
1991-04-24 10:22:02.314567680,672488522314567680,1165,473
1991-04-24 20:04:50.734551040,672523490734551040,679,187
1991-04-25 00:08:27.540070400,672538107540070400,1073,400
1991-04-25 14:54:31.085670400,672591271085670400,763,202
1991-04-25 15:02:42.242805761,672591762242805760,993,359
1991-04-25 15:56:18.741354496,672594978741354496,1386,650
1991-04-25 18:27:06.190569472,672604026190569472,1166,435
1991-04-25 19:52:32.938721280,672609152938721280,1162,417
1991-04-25 21:25:45.925664768,672614745925664768,1278,635
1991-04-25 23:32:07.801233409,672622327801233408,1357,531
1991-04-26 04:35:09.974827008,672640509974827008,1019,345
1991-04-28 08:47:57.930868736,672828477930868736,1321,522
1991-04-28 10:25:01.050937345,672834301050937344,1378,615
1991-04-28 22:26:55.439593473,672877615439593472,1077,396
1991-04-29 00:20:26.393653248,672884426393653248,1625,888
1991-04-29 04:10:06.762672129,672898206762672128,927,451
1991-04-29 05:24:41.409806336,672902681409806336,1425,542
1991-04-29 22:36:01.327235073,672964561327235072,1490,691
1991-04-29 23:33:45.906282496,672968025906282496,1378,593
1991-04-30 00:09:12.493887488,672970152493887488,1002,384
1991-04-30 01:32:11.468300288,672975131468300288,1774,999
1991-04-30 03:06:59.271634944,672980819271634944,1888,1063
1991-04-30 04:02:22.909456390,672984142909456384,1305,586
1991-04-30 05:19:46.805112832,672988786805112832,1018,309
1991-04-30 07:07:47.319328768,672995267319328768,999,323
1991-04-30 07:50:45.381865473,672997845381865472,2060,773
1991-05-02 01:46:44.208660480,673148804208660480,1789,683
1991-05-02 19:37:19.743795200,673213039743795200,2368,911
1991-05-03 03:19:58.075449344,673240798075449344,1486,782
1991-05-03 11:42:48.295534593,673270968295534592,1114,396
1991-05-03 18:27:48.553605120,673295268553605120,7921,3419
1991-05-04 00:46:26.296586240,673317986296586240,909,288
1991-05-04 01:22:12.811366400,673320132811366400,14243,8547
1991-05-04 07:31:48.415348736,673342308415348736,1331,638
1991-05-04 07:46:57.010679808,673343217010679808,1017,286
1991-05-04 08:27:18.550134785,673345638550134784,2656,1391
1991-05-04 09:43:18.937153538,673350198937153536,766,226
1991-05-04 10:15:24.999274496,673352124999274496,1730,585
1991-05-04 11:17:59.178194945,673355879178194944,1574,641
1991-05-04 12:23:38.736984064,673359818736984064,1531,721
1991-05-04 13:26:55.379013632,673363615379013632,1069,335
1991-05-07 00:40:35.670777856,673576835670777856,1453,605
1991-05-07 01:48:46.094458881,673580926094458880,865,291
1991-05-07 02:25:29.559498752,673583129559498752,1247,396
1991-05-07 10:40:54.080196609,673612854080196608,1668,785
1991-05-07 17:18:38.965334016,673636718965334016,1177,399
1991-05-07 22:44:22.056419329,673656262056419328,752,262
1991-05-08 00:31:17.122719744,673662677122719744,1308,390
1991-05-08 05:23:18.160809984,673680198160809984,1434,512
1991-05-08 07:14:05.050527744,673686845050527744,1518,470
1991-05-08 07:45:52.737402881,673688752737402880,1309,527
1991-05-08 08:02:13.134946305,673689733134946304,1832,696
1991-05-08 10:19:40.713705472,673697980713705472,4001,2121
